pitching_box_score_id,season,player_id,team_id,game_id,opponent_id,app,gs,ip,ha,r,er,bb,so,sho,bf,p_oab,x2b_a,x3b_a,hr_a,cso,wp,bk,hb,kl,ibb,cg,inh_run,inh_run_score,sha,sfa,cia,pitches,go,fo,w,l,sv,ord_appeared,player_id,first_name,last_name
32022,2023,6119,366,2374303,231,1,1,6,5,1,0,0,2,0,23,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,71,11,4,0,1,0,1,6119,Brook,Melnychuk
35950,2023,6119,366,2374681,697,1,0,0.1,1,2,2,1,0,0,3,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,13,1,0,0,1,0,4,6119,Brook,Melnychuk
37494,2023,6119,366,2375313,419,1,1,5,2,1,0,1,0,0,19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,7,8,0,0,0,1,6119,Brook,Melnychuk
42028,2023,6119,366,2376046,77,1,1,0.2,3,3,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,2,0,0,1,0,1,6119,Brook,Melnychuk
47937,2023,6119,366,2377461,9,1,1,2.2,6,5,4,1,1,0,15,14,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51,3,4,0,0,0,1,6119,Brook,Melnychuk
54650,2023,6119,366,2379034,706,1,1,3,1,0,0,2,3,0,12,10,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,50,2,4,0,0,0,1,6119,Brook,Melnychuk
59806,2023,6119,366,2380299,704,1,1,7,5,2,2,0,2,0,25,24,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,87,10,8,1,0,0,1,6119,Brook,Melnychuk
65397,2023,6119,366,2381396,458,1,1,4,3,2,1,2,1,0,19,15,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,74,2,9,0,1,0,1,6119,Brook,Melnychuk
66911,2023,6119,366,2381567,458,1,0,4.1,4,2,0,0,1,0,18,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,64,8,3,0,1,0,2,6119,Brook,Melnychuk
68834,2023,6119,366,2381656,671,1,0,4.1,6,5,5,0,1,0,19,19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,61,6,6,0,0,0,2,6119,Brook,Melnychuk
70230,2023,6119,366,2433773,772,1,0,8,2,0,0,1,2,0,27,23,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,92,11,10,1,0,0,4,6119,Brook,Melnychuk
70231,2023,6119,366,2381989,772,1,1,2,3,3,3,2,0,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,46,6,0,0,1,0,1,6119,Brook,Melnychuk
3880,2023,1905,366,2388110,654,1,1,6,5,0,0,1,1,0,26,23,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,78,10,7,1,0,0,1,1905,Allie,Floyd
5152,2023,1905,366,2367205,655,1,0,4.2,5,1,1,1,1,0,19,18,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,60,7,5,0,0,0,2,1905,Allie,Floyd
5799,2023,1905,366,2367551,381,1,0,1,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,2,1905,Allie,Floyd
7293,2023,1905,366,2367967,620,1,1,6,6,3,3,1,3,0,25,24,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,83,9,5,0,0,0,1,1905,Allie,Floyd
10959,2023,1905,366,2368311,365,1,0,1,2,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,1,0,0,0,5,1905,Allie,Floyd
13502,2023,1905,366,2369037,719,1,1,6.1,5,4,3,0,4,0,26,25,1,1,0,0,2,0,0,1,0,0,0,0,0,1,0,79,6,8,1,0,0,1,1905,Allie,Floyd
15552,2023,1905,366,2369530,646,1,1,4,3,2,2,1,0,0,17,15,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,51,6,6,0,1,0,1,1905,Allie,Floyd
17621,2023,1905,366,2369715,1004,1,0,3,3,1,0,1,2,0,14,13,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,54,3,4,0,0,1,3,1905,Allie,Floyd
21948,2023,1905,366,2370919,287,1,0,3,0,0,0,0,0,0,9,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,6,3,0,0,1,3,1905,Allie,Floyd
24006,2023,1905,366,2371269,498,1,1,9,7,3,3,0,4,0,34,33,2,0,1,0,0,0,0,2,0,1,0,0,0,1,0,115,8,15,0,1,0,1,1905,Allie,Floyd
25154,2023,1905,366,2371886,497,1,0,6.1,3,2,0,0,1,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,75,8,10,0,1,0,2,1905,Allie,Floyd
27793,2023,1905,366,2372608,497,1,1,2.1,4,1,1,0,1,0,11,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33,3,3,0,1,0,1,1905,Allie,Floyd
31127,2023,1905,366,2373704,231,1,1,3,5,2,1,2,2,0,16,13,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,42,4,2,0,0,0,1,1905,Allie,Floyd
35945,2023,1905,366,2374681,697,1,1,2,2,1,1,1,1,0,9,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,30,1,4,0,0,0,1,1905,Allie,Floyd
37491,2023,1905,366,2374945,419,1,0,5.1,4,1,1,1,1,0,19,18,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,55,5,8,0,0,0,2,1905,Allie,Floyd
38977,2023,1905,366,2375537,419,1,0,2,0,0,0,0,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,4,0,0,1,3,1905,Allie,Floyd
40689,2023,1905,366,2375737,508,1,0,4,5,1,1,1,4,0,20,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,74,3,5,1,0,0,2,1905,Allie,Floyd
42025,2023,1905,366,2376046,77,1,0,5.1,2,2,2,1,2,0,19,18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,47,8,6,0,0,0,2,1905,Allie,Floyd
42843,2023,1905,366,2376589,365,1,0,1.2,4,4,4,1,0,0,10,9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,42,1,4,0,1,0,2,1905,Allie,Floyd
46389,2023,1905,366,2377039,498,1,0,7,1,0,0,1,4,0,24,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,72,10,6,1,0,0,4,1905,Allie,Floyd
47402,2023,1905,366,2427805,9,1,1,5,8,2,2,2,1,0,26,21,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,66,9,6,1,0,0,1,1905,Allie,Floyd
47935,2023,1905,366,2377461,9,1,0,0.1,3,2,2,1,0,0,5,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,20,1,0,0,1,0,3,1905,Allie,Floyd
52510,2023,1905,366,2378361,433,1,1,1.1,3,4,4,2,1,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29,1,2,0,1,0,1,1905,Allie,Floyd
53452,2023,1905,366,2378591,706,1,0,4,4,0,0,0,1,0,15,15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,7,3,1,0,0,2,1905,Allie,Floyd
54648,2023,1905,366,2379034,706,1,0,1,0,0,0,0,0,0,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,3,1905,Allie,Floyd
55995,2023,1905,366,2379288,706,1,1,5,2,0,0,1,3,0,18,17,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,66,4,8,0,0,0,1,1905,Allie,Floyd
59000,2023,1905,366,2379854,704,1,0,4.1,5,3,3,0,2,0,17,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,5,5,1,0,0,2,1905,Allie,Floyd
61485,2023,1905,366,2380452,704,1,0,2,3,1,1,0,0,0,9,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,3,3,0,0,0,2,1905,Allie,Floyd
64568,2023,1905,366,2381002,458,1,0,5.1,5,2,2,2,2,0,22,20,0,0,2,0,1,0,0,1,1,0,2,1,0,0,0,96,2,11,1,0,0,2,1905,Allie,Floyd
66910,2023,1905,366,2381567,458,1,1,4.2,3,1,1,1,0,0,18,16,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,65,2,12,0,0,0,1,1905,Allie,Floyd
68832,2023,1905,366,2381656,671,1,1,2,3,2,2,0,0,0,9,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,3,0,1,0,1,1905,Allie,Floyd
69420,2023,1905,366,2381826,772,1,0,3.1,3,4,3,3,2,0,17,13,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,65,3,5,0,1,0,2,1905,Allie,Floyd
70224,2023,1905,366,2433773,772,1,0,0.2,1,1,1,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,3,1905,Allie,Floyd
73039,2023,1905,366,2434094,419,1,1,6,4,5,3,0,2,0,25,22,2,0,0,0,1,0,1,0,0,1,0,0,1,1,0,68,7,9,0,1,0,1,1905,Allie,Floyd
3882,2023,2476,366,2388110,654,1,0,1,1,1,1,1,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,2,0,0,0,2,2476,Alyssa,Martin
15554,2023,2476,366,2369424,244,1,0,2,1,1,1,0,0,0,9,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,19,4,2,0,0,0,2,2476,Alyssa,Martin
19794,2023,2476,366,2370472,368,1,0,2,0,0,0,1,2,0,7,6,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,24,2,2,0,0,0,2,2476,Alyssa,Martin
29771,2023,2476,366,2373036,508,1,0,1,0,0,0,0,1,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,1,1,0,0,0,3,2476,Alyssa,Martin
35948,2023,2476,366,2374681,697,1,0,1,2,2,2,0,2,0,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,5,2476,Alyssa,Martin
42846,2023,2476,366,2376342,490,1,1,4,6,3,3,1,3,0,19,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55,5,3,0,1,0,1,2476,Alyssa,Martin
47404,2023,2476,366,2427804,9,1,0,3,1,1,0,1,2,0,12,9,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,37,2,4,0,0,0,2,2476,Alyssa,Martin
61486,2023,2476,366,2380452,704,1,0,1,1,0,0,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,3,2476,Alyssa,Martin
65396,2023,2476,366,2381396,458,1,0,1,0,0,0,1,1,0,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,1,1,0,0,0,4,2476,Alyssa,Martin
70228,2023,2476,366,2381989,772,1,0,0.2,0,0,0,2,1,0,5,2,0,0,0,0,1,0,1,1,0,0,3,3,0,0,0,27,1,0,0,0,0,2,2476,Alyssa,Martin
3883,2023,25338,366,2367101,654,1,0,2,1,0,0,1,0,0,8,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34,2,4,0,0,1,2,25338,Mary,Martinez
5801,2023,25338,366,2367512,709,1,0,3,1,0,0,0,1,0,10,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,6,1,0,1,2,25338,Mary,Martinez
7295,2023,25338,366,2367991,228,1,1,4,1,0,0,1,1,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,2,9,1,0,0,1,25338,Mary,Martinez
9162,2023,25338,366,2368189,1092,1,0,4,5,1,1,0,1,0,15,14,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35,3,6,1,0,0,2,25338,Mary,Martinez
10962,2023,25338,366,2368311,365,1,0,1.1,3,2,2,0,0,0,7,7,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,22,0,4,0,1,0,4,25338,Mary,Martinez
13505,2023,25338,366,2369118,430,1,0,2.1,4,1,1,0,1,0,10,10,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,42,2,3,0,0,0,3,25338,Mary,Martinez
13506,2023,25338,366,2369037,719,1,0,0.2,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,2,0,0,1,2,25338,Mary,Martinez
15555,2023,25338,366,2369530,646,1,0,2,1,0,0,0,4,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29,1,1,0,0,0,2,25338,Mary,Martinez
17623,2023,25338,366,2369715,1004,1,0,0.1,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,1,0,0,2,25338,Mary,Martinez
21951,2023,25338,366,2370867,368,1,1,2,3,0,0,0,0,0,9,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,31,2,3,0,0,0,1,25338,Mary,Martinez
26440,2023,25338,366,2372279,497,1,0,3.2,3,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34,1,9,1,0,0,2,25338,Mary,Martinez
27795,2023,25338,366,2372608,497,1,0,2,1,1,1,0,0,0,7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,1,5,0,0,0,3,25338,Mary,Martinez
29772,2023,25338,366,2373036,508,1,1,3,2,0,0,1,3,0,13,11,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,59,2,4,0,0,0,1,25338,Mary,Martinez
32021,2023,25338,366,2373997,231,1,1,5,4,2,2,0,2,0,19,18,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,68,6,7,1,0,0,1,25338,Mary,Martinez
35949,2023,25338,366,2374681,697,1,0,0.2,1,1,1,2,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,24,1,1,0,0,0,3,25338,Mary,Martinez
37493,2023,25338,366,2375313,419,1,0,2,3,1,0,0,1,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,4,0,1,0,2,25338,Mary,Martinez
38979,2023,25338,366,2375537,419,1,0,2.2,1,0,0,0,3,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,4,1,0,0,2,25338,Mary,Martinez
42027,2023,25338,366,2376033,490,1,1,7,4,0,0,0,6,1,23,23,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,71,6,7,1,0,0,1,25338,Mary,Martinez
42847,2023,25338,366,2376342,490,1,0,2,5,2,2,0,1,0,9,8,0,0,1,0,0,0,0,0,0,0,3,1,0,1,0,26,0,3,0,0,0,3,25338,Mary,Martinez
46391,2023,25338,366,2377039,498,1,1,2,5,2,2,0,0,0,10,8,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,35,4,1,0,0,0,1,25338,Mary,Martinez
47405,2023,25338,366,2427804,9,1,1,3,4,3,3,1,0,0,15,13,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,36,2,7,0,1,0,1,25338,Mary,Martinez
52512,2023,25338,366,2378361,433,1,0,1.2,3,1,1,1,1,0,8,7,0,0,1,0,1,0,0,1,0,0,2,2,0,0,0,37,0,3,0,0,0,3,25338,Mary,Martinez
54649,2023,25338,366,2379034,706,1,0,3,1,0,0,1,1,0,11,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,43,2,6,1,0,0,2,25338,Mary,Martinez
61487,2023,25338,366,2380452,704,1,1,4,3,1,1,1,5,0,16,15,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,67,2,5,1,0,0,1,25338,Mary,Martinez
64569,2023,25338,366,2381002,458,1,1,1.2,3,1,1,2,1,0,10,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,49,2,2,0,0,0,1,25338,Mary,Martinez
69421,2023,25338,366,2381826,772,1,1,3,6,3,3,0,0,0,15,14,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,49,6,3,0,0,0,1,25338,Mary,Martinez
70229,2023,25338,366,2433773,772,1,0,1.1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,3,0,0,0,2,25338,Mary,Martinez
